City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sao joao da barra,-21.6403,-41.0511,25.05,91,10,6.05,BR,1697492894
83,samfya,-11.3649,29.5565,25.96,52,100,2.44,ZM,1697492894
84,candelaria,13.9311,121.4233,23.96,95,96,1.57,PH,1697492894
85,nuuk,64.1835,-51.7216,-2.66,63,20,6.17,GL,1697492895
86,utrik,11.2278,169.8474,28.42,76,38,7.52,MH,1697492895
87,khandyga,62.6667,135.6,-15.94,71,43,1.98,RU,1697492895
88,mutoko,-17.397,32.2268,19.09,79,100,2.24,ZW,1697492846
89,san patricio,28.017,-97.5169,24.92,32,0,5.35,US,1697492895
90,okha,53.5739,142.9478,6.85,90,97,6.38,RU,1697492896
91,bafq,31.6128,55.4107,22.95,21,12,2.79,IR,1697492896
92,el matama,16.7095,33.3565,32.34,14,20,6.72,SD,1697492896
93,constitucion,-35.3333,-72.4167,14.05,67,3,6.63,CL,1697492854
94,west island,-12.1568,96.8225,25.99,83,75,6.17,CC,1697492896
95,longyearbyen,78.2186,15.6401,-3.09,54,20,4.63,SJ,1697492896
96,gua musang,4.8823,101.9644,23.22,99,98,0.47,MY,1697492897
97,tsiombe,-25.3,45.4833,21.22,78,100,1.48,MG,1697492897
98,pacific grove,36.6177,-121.9166,26.88,65,0,3.6,US,1697492897
99,tura,25.5198,90.2201,19.74,90,0,1.64,IN,1697492897
100,saint-joseph,-21.3667,55.6167,23.21,86,75,0.98,RE,1697492898
101,extremoz,-5.7056,-35.3072,26.25,73,20,3.6,BR,1697492820
102,kingston,17.997,-76.7936,31.53,76,20,4.12,JM,1697492898
103,hell-ville,-13.4,48.2667,25.93,75,51,3.37,MG,1697492898
104,jumla,29.2747,82.1838,8.49,76,100,1.8,NP,1697492898
105,desna,50.9273,30.7605,4.36,77,14,7.52,UA,1697492899
106,timiryazevskoye,56.49,84.8769,6.79,96,100,5.32,RU,1697492899
107,forbes,-33.3833,148.0167,11.91,44,0,5.21,AU,1697492899
108,olonkinbyen,70.9221,-8.7187,0.8,74,100,5.34,SJ,1697492899
109,acarau,-2.8856,-40.12,26.14,77,4,7.06,BR,1697492899
110,iskateley,67.6803,53.1512,3.9,93,100,5.81,RU,1697492900
111,port alfred,-33.5906,26.891,16.21,90,82,0.45,ZA,1697492900
112,ankang,32.68,109.0172,17.67,74,81,1.23,CN,1697492815
113,ust-nera,64.5667,143.2,-22.1,98,62,1.21,RU,1697492900
114,anadyr,64.75,177.4833,-1.72,79,20,4.0,RU,1697492900
115,barrie,44.4001,-79.6663,9.96,79,41,4.12,CA,1697492730
116,ust'-ilimsk,58.0006,102.6619,1.36,92,100,3.58,RU,1697492901
117,okhotsk,59.3833,143.3,-5.49,70,48,9.63,RU,1697492901
118,port mathurin,-19.6833,63.4167,23.88,86,1,3.84,MU,1697492901
119,peace river,56.2501,-117.286,15.17,54,75,4.12,CA,1697492902
120,port elizabeth,-33.918,25.5701,17.4,91,75,3.6,ZA,1697492902
121,cascais,38.6979,-9.4215,23.06,95,77,10.28,PT,1697492902
122,aldan,58.6031,125.3894,-4.33,70,100,1.79,RU,1697492902
123,tokar,18.4254,37.729,29.22,69,64,4.8,SD,1697492903
124,east london,-33.0153,27.9116,17.05,82,72,6.15,ZA,1697492662
125,nouadhibou,20.931,-17.0347,27.99,42,100,6.17,MR,1697492903
126,leshan,29.5623,103.7639,18.82,90,97,0.8,CN,1697492903
127,bamboo flat,11.7,92.7167,26.05,94,40,1.03,IN,1697492903
128,chonchi,-42.6128,-73.8092,13.4,64,6,2.1,CL,1697492904
129,tazovsky,67.4667,78.7,-1.11,94,95,1.13,RU,1697492904
130,el tambo,1.4181,-77.3968,22.77,36,40,3.6,CO,1697492904
131,sinabang,2.4803,96.3801,25.92,83,100,5.05,ID,1697492611
132,kiunga,-6.1219,141.2906,23.83,97,100,0.73,PG,1697492904
133,aktobe,50.2797,57.2072,3.05,87,0,2.0,KZ,1697492905
134,horta,38.5333,-28.6333,18.9,85,20,2.24,PT,1697492905
135,porto novo,6.4965,2.6036,27.9,84,99,3.09,BJ,1697492800
136,carnarvon,-24.8667,113.6333,23.12,51,0,5.64,AU,1697492905
137,ribeira grande,38.5167,-28.7,19.32,82,20,2.24,PT,1697492905
138,jirja,26.3383,31.8916,23.12,38,0,3.09,EG,1697492906
139,bristol,41.8334,-71.1662,13.95,80,56,2.81,US,1697492906
140,saipan,15.1355,145.701,27.39,94,20,2.57,MP,1697492906
141,sanniquellie,7.3622,-8.7061,20.86,100,86,1.07,LR,1697492906
142,fenoarivo atsinanana,-17.3667,49.4167,23.32,91,92,1.79,MG,1697492906
143,dikhil,11.5,42.1667,25.17,67,21,3.38,DJ,1697492907
144,caleta de carquin,-11.0925,-77.6267,20.73,80,62,4.53,PE,1697492907
145,santana,-0.0583,-51.1817,31.1,66,20,5.66,BR,1697492884
146,codajas,-3.8367,-62.0569,26.52,71,73,1.03,BR,1697492907
147,luderitz,-26.6481,15.1594,20.04,51,0,5.54,NA,1697492908
148,parun,35.4207,70.9221,1.6,94,100,0.44,AF,1697492908
149,susuman,62.7833,148.1667,-20.18,91,4,0.56,RU,1697492908
150,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,88,75,7.0,RU,1697492908
151,suntar,62.1444,117.6319,2.3,99,100,2.24,RU,1697492908
152,quibala,-10.7337,14.98,19.34,92,76,1.4,AO,1697492908
153,carloforte,39.145,8.3058,21.51,78,96,2.18,IT,1697492909
154,hermanus,-34.4187,19.2345,15.77,90,22,5.06,ZA,1697492909
155,neiafu,-18.65,-173.9833,26.38,69,40,5.66,TO,1697492909
156,darhan,49.4867,105.9228,2.57,90,39,2.5,MN,1697492909
157,bata,1.8639,9.7658,25.0,85,100,1.97,GQ,1697492910
158,shimanovsk,52.0,127.7,-1.93,46,13,1.18,RU,1697492910
159,kristiansund,63.1115,7.732,8.36,87,100,4.63,NO,1697492910
160,benguela,-12.5763,13.4055,23.05,82,91,2.02,AO,1697492910
161,udachny,66.4167,112.4,-3.08,92,100,1.26,RU,1697492910
162,keflavik,64.0049,-22.5624,5.24,87,75,3.09,IS,1697492911
163,lagoa vermelha,-28.2086,-51.5258,17.28,96,100,6.04,BR,1697492911
164,rabo de peixe,37.8,-25.5833,19.99,99,40,4.02,PT,1697492911
165,roma,43.2128,-75.4557,14.08,70,75,5.66,US,1697492911
166,wailua homesteads,22.0669,-159.378,28.44,71,20,5.14,US,1697492911
167,fortuna foothills,32.6578,-114.4119,38.16,11,0,3.6,US,1697492912
168,katima mulilo,-17.5,24.2667,24.16,48,70,1.42,NA,1697492912
169,whitehorse,60.7161,-135.0538,1.43,100,100,0.0,CA,1697492912
170,prince rupert,54.3161,-130.3201,12.05,100,100,9.77,CA,1697492639
171,ginir,7.1333,40.7,14.95,82,100,2.06,ET,1697492912
172,manthani,18.65,79.6667,23.58,79,26,0.54,IN,1697492913
173,karratha,-20.7377,116.8463,26.47,21,0,5.43,AU,1697492913
174,mogocha,53.7333,119.7667,0.97,48,100,0.89,RU,1697492913
175,muravlenko,63.7898,74.523,1.14,93,100,3.33,RU,1697492913
176,san ramon,37.7799,-121.978,27.12,54,0,3.6,US,1697492913
177,nyagan,62.1406,65.3936,8.01,82,100,2.17,RU,1697492914
178,yeed,4.55,43.0333,27.21,61,93,6.28,SO,1697492914
179,preobrazheniye,42.9019,133.9064,5.8,45,0,4.92,RU,1697492914
180,kelkit,40.1298,39.4361,10.3,78,100,1.01,TR,1697492914
181,ponte de sor,39.2496,-8.0101,21.1,74,100,6.02,PT,1697492914
182,ellsworth,44.5434,-68.4195,12.14,92,100,3.6,US,1697492915
183,nizhnesortymskiy,62.4397,71.7603,4.7,90,93,3.25,RU,1697492915
184,marvejols,44.5538,3.2914,9.62,96,49,1.42,FR,1697492915
185,rurrenabaque,-14.4413,-67.5278,35.83,37,51,2.66,BO,1697492915
186,al hada,21.3675,40.2869,19.66,58,20,0.46,SA,1697492915
187,rawlins,41.7911,-107.2387,20.2,26,0,6.69,US,1697492784
188,macusani,-14.0833,-70.4333,7.03,64,46,4.4,PE,1697492916
189,dudinka,69.4058,86.1778,-0.18,98,100,2.68,RU,1697492916
190,vadso,70.0744,29.7487,2.49,80,20,7.72,NO,1697492916
191,santa ana de yacuma,-13.75,-65.4333,36.97,39,20,2.06,BO,1697492916
192,vila velha,-20.3297,-40.2925,25.97,90,75,4.12,BR,1697492916
193,tolanaro,-25.0319,46.9987,23.04,83,75,4.12,MG,1697492917
194,ternate,0.8,127.4,26.65,80,96,1.57,ID,1697492917
195,yatou,37.15,122.3833,11.65,60,0,1.99,CN,1697492917
196,geraldton,-28.7667,114.6,13.23,47,0,3.09,AU,1697492917
197,punta arenas,-53.15,-70.9167,10.06,57,75,10.8,CL,1697492917
198,serdar,38.9764,56.2757,17.12,28,98,2.45,TM,1697492918
199,yujing,23.1249,120.4614,27.03,82,100,1.36,TW,1697492918
200,alaghsas,17.0187,8.0168,30.35,17,9,4.65,NE,1697492918
201,ndele,8.4109,20.6473,22.55,91,95,0.67,CF,1697492918
202,al burayqah,30.4062,19.5739,22.61,70,0,2.26,LY,1697492919
203,smithers,54.7804,-127.1743,9.18,93,100,1.54,CA,1697492919
204,fale old settlement,-9.3852,-171.2468,28.6,77,88,9.47,TK,1697492646
205,abu jibeha,11.4562,31.2285,23.75,80,100,3.17,SD,1697492919
206,pocos de caldas,-21.7878,-46.5614,23.14,58,86,0.9,BR,1697492919
207,barra de sao francisco,-18.755,-40.8908,25.66,65,65,4.49,BR,1697492920
208,kencong,-8.2833,113.3667,23.1,94,82,0.53,ID,1697492920
209,arraial do cabo,-22.9661,-42.0278,23.92,88,40,9.26,BR,1697492648
210,vilcun,-38.65,-72.2333,16.41,60,1,2.76,CL,1697492920
211,tofol,5.3248,163.0078,28.33,76,100,4.6,FM,1697492920
212,jinchang,38.4953,102.1739,9.73,51,100,3.51,CN,1697492921
213,aykhal,66.0,111.5,-3.85,94,100,4.92,RU,1697492921
214,dalhart,36.0595,-102.5133,24.71,23,0,4.12,US,1697492805
215,kruisfontein,-34.0033,24.7314,13.09,93,1,1.73,ZA,1697492921
216,las lajitas,-24.6833,-64.25,34.5,27,12,2.39,AR,1697492921
217,ust-tsilma,65.441,52.1498,2.83,89,100,2.75,RU,1697492921
218,bandarbeyla,9.4942,50.8122,26.72,83,11,2.3,SO,1697492922
219,vila do maio,15.1333,-23.2167,29.44,78,45,4.66,CV,1697492922
220,palangkaraya,-2.2,113.8333,24.02,93,96,1.02,ID,1697492922
221,rio gallegos,-51.6226,-69.2181,14.03,33,0,9.77,AR,1697492922
222,el charco,2.4769,-78.1105,26.89,83,100,2.71,CO,1697492922
223,cartagena del chaira,1.3349,-74.8429,29.26,60,99,0.94,CO,1697492923
224,kolobrzeg,54.1757,15.5834,6.65,78,71,4.51,PL,1697492684
225,mugia,43.1041,-9.2179,21.62,72,97,12.37,ES,1697492923
226,kampong cham,11.9934,105.4635,24.31,92,96,0.88,KH,1697492923
227,tazacorte,28.629,-17.9293,25.08,42,0,3.13,ES,1697492923
228,dzilam gonzalez,21.2833,-88.9333,23.79,81,82,4.01,MX,1697492924
229,xique xique,-10.8217,-42.7311,29.72,35,2,4.52,BR,1697492698
230,gulf shores,30.246,-87.7008,20.19,49,0,4.12,US,1697492765
231,carutapera,-1.195,-46.02,26.69,76,42,3.97,BR,1697492924
232,palikir - national government center,6.9248,158.1611,27.47,89,75,1.54,FM,1697492924
233,constantia,44.1833,28.65,6.5,55,12,2.64,RO,1697492925
234,pisco,-13.7,-76.2167,20.03,77,20,3.6,PE,1697492925
235,port saint john's,-31.6229,29.5448,17.78,83,100,4.78,ZA,1697492925
236,asarganj,25.15,86.6833,23.45,78,0,0.76,IN,1697492925
237,cartagena,10.3997,-75.5144,28.79,74,20,2.06,CO,1697492925
238,ekuvukeni,-28.4675,30.1551,13.09,89,100,4.71,ZA,1697492926
239,dedza,-14.3779,34.3332,20.9,54,92,1.0,MW,1697492926
240,meadow lakes,61.6247,-149.6011,10.06,57,0,5.66,US,1697492926
241,kismayo,-0.3582,42.5454,25.99,89,59,4.34,SO,1697492926
242,puerto carreno,6.189,-67.4859,26.99,78,20,1.54,CO,1697492926
243,hadibu,12.65,54.0333,27.11,78,22,2.33,YE,1697492927
244,pedernales,18.0384,-71.744,28.76,75,50,0.44,DO,1697492927
245,kone,-21.0595,164.8658,24.43,82,98,2.69,NC,1697492927
246,puerto ayora,-0.7393,-90.3518,28.98,90,87,3.58,EC,1697492927
247,port hedland,-20.3167,118.5667,24.03,11,0,4.12,AU,1697492928
248,corbin,36.9487,-84.0969,11.25,73,100,5.66,US,1697492928
249,hradyz'k,49.2346,33.1361,8.08,73,49,10.53,UA,1697492928
250,arno,60.1167,18.6333,5.44,72,18,4.3,SE,1697492928
